params,heat_loss,is_optimal
"{'fc1.weight_0': 0.19144248962402344, 'fc1.weight_1': 0.008702635765075684, 'fc1.weight_2': -0.244124174118042, 'bn1.weight_0': -0.635337233543396, 'bn1.weight_1': 0.24465346336364746, 'bn1.weight_2': -0.18862557411193848, 'bn1.bias_0': 0.6399013996124268, 'bn1.bias_1': -0.7778660655021667, 'bn1.bias_2': -0.9920693151652813, 'fc2.weight_0': 0.1332714557647705, 'fc2.weight_1': -0.46259498596191406, 'fc2.weight_2': 0.20456159114837646}",0.02561867886966432,Optimal
"{'fc1.weight_0': -0.2115717101842165, 'fc1.weight_1': -0.3215707018971443, 'fc1.weight_2': 0.9276968892663717, 'bn1.weight_0': 0.18928556516766548, 'bn1.weight_1': -0.33826833590865135, 'bn1.weight_2': 0.08434938453137875, 'bn1.bias_0': -0.5183126851916313, 'bn1.bias_1': 0.27903215400874615, 'bn1.bias_2': 0.0001334361732006073, 'fc2.weight_0': -0.3293915744870901, 'fc2.weight_1': 0.03456747718155384, 'fc2.weight_2': -0.16665110364556313}",0.02956632583007054,No
"{'fc1.weight_0': -0.519941434264183, 'fc1.weight_1': 0.8889646921306849, 'fc1.weight_2': -0.7029607594013214, 'bn1.weight_0': -0.3878295198082924, 'bn1.weight_1': -0.9183376375585794, 'bn1.weight_2': 0.5054480116814375, 'bn1.bias_0': 0.4124198667705059, 'bn1.bias_1': 0.9285250212997198, 'bn1.bias_2': 0.917530445381999, 'fc2.weight_0': -0.6624950636178255, 'fc2.weight_1': 0.6227463595569134, 'fc2.weight_2': -0.5257889274507761}",0.04936041272761165,No
"{'fc1.weight_0': 0.5085629560053349, 'fc1.weight_1': -0.7030496820807457, 'fc1.weight_2': 0.37875908613204956, 'bn1.weight_0': 0.9437366295605898, 'bn1.weight_1': 0.5122289843857288, 'bn1.weight_2': -0.6434804275631905, 'bn1.bias_0': -0.3084248621016741, 'bn1.bias_1': -0.4296768084168434, 'bn1.bias_2': -0.09014474786818027, 'fc2.weight_0': 0.8743336535990238, 'fc2.weight_1': -0.8822286035865545, 'fc2.weight_2': 0.5954224430024624}",0.014967474931195128,Optimal
"{'fc1.weight_0': 0.9747877065092325, 'fc1.weight_1': 0.5125152133405209, 'fc1.weight_2': 0.5466523598879576, 'bn1.weight_0': 0.6694574188441038, 'bn1.weight_1': 0.9644080195575953, 'bn1.weight_2': -0.44636425748467445, 'bn1.bias_0': 0.21155200898647308, 'bn1.bias_1': 0.6077553518116474, 'bn1.bias_2': 0.6380572058260441, 'fc2.weight_0': -0.24969062581658363, 'fc2.weight_1': 0.7838249821215868, 'fc2.weight_2': 0.8040921241044998}",0.004747327522769861,Optimal
"{'fc1.weight_0': -0.9946346748620272, 'fc1.weight_1': -0.8256236631423235, 'fc1.weight_2': -0.34744356758892536, 'bn1.weight_0': -0.22537216171622276, 'bn1.weight_1': -0.6205166056752205, 'bn1.weight_2': 0.3422053996473551, 'bn1.bias_0': -0.06751933507621288, 'bn1.bias_1': -0.10878411494195461, 'bn1.bias_2': -0.3697400130331516, 'fc2.weight_0': 0.2876994516700506, 'fc2.weight_1': -0.7113831602036953, 'fc2.weight_2': -0.8249432947486639}",0.04100919705938456,No
"{'fc1.weight_0': -0.3030253201723099, 'fc1.weight_1': 0.38521332666277885, 'fc1.weight_2': 0.025310076773166656, 'bn1.weight_0': 0.41620171815156937, 'bn1.weight_1': -0.1381035503000021, 'bn1.weight_2': 0.7633078265935183, 'bn1.bias_0': 0.9860310908406973, 'bn1.bias_1': -0.6914702039211988, 'bn1.bias_2': -0.7042952049523592, 'fc2.weight_0': 0.7047870475798845, 'fc2.weight_1': -0.13147073052823544, 'fc2.weight_2': -0.49653269350528717}",0.01377505794793745,No
"{'fc1.weight_0': 0.29188335314393044, 'fc1.weight_1': -0.1990580428391695, 'fc1.weight_2': -0.8338909074664116, 'bn1.weight_0': -0.9701576810330153, 'bn1.weight_1': 0.2944887652993202, 'bn1.weight_2': -0.9012153260409832, 'bn1.bias_0': -0.8556556217372417, 'bn1.bias_1': 0.19251517578959465, 'bn1.bias_2': 0.2880296315997839, 'fc2.weight_0': -0.7583312317728996, 'fc2.weight_1': 0.37154991552233696, 'fc2.weight_2': 0.38249615766108036}",0.01658574181822486,No
"{'fc1.weight_0': 0.40709691494703293, 'fc1.weight_1': 0.8311379868537188, 'fc1.weight_2': 0.20189878158271313, 'bn1.weight_0': -0.05565851368010044, 'bn1.weight_1': -0.472065232694149, 'bn1.weight_2': -0.6205921974033117, 'bn1.bias_0': 0.08714326471090317, 'bn1.bias_1': 0.6484168171882629, 'bn1.bias_2': 0.6053248383104801, 'fc2.weight_0': 0.8867826238274574, 'fc2.weight_1': 0.4868080150336027, 'fc2.weight_2': 0.02355518564581871}",0.01760526077882049,No
"{'fc1.weight_0': -0.43402575328946114, 'fc1.weight_1': -0.5182698667049408, 'fc1.weight_2': -0.8776361960917711, 'bn1.weight_0': 0.6130342595279217, 'bn1.weight_1': 0.06591945327818394, 'bn1.weight_2': 0.7304845564067364, 'bn1.bias_0': -0.19213407300412655, 'bn1.bias_1': -0.14725072868168354, 'bn1.bias_2': -0.4024418629705906, 'fc2.weight_0': -0.5831488352268934, 'fc2.weight_1': -0.00846140831708908, 'fc2.weight_2': -0.0974153820425272}",0.03661985032218993,No
"{'fc1.weight_0': -0.8600958716124296, 'fc1.weight_1': 0.20868019945919514, 'fc1.weight_2': 0.742743693292141, 'bn1.weight_0': -0.8117999732494354, 'bn1.weight_1': 0.6772606894373894, 'bn1.weight_2': 0.18731549754738808, 'bn1.bias_0': 0.8595547806471586, 'bn1.bias_1': -0.5602921936661005, 'bn1.bias_2': -0.5544065702706575, 'fc2.weight_0': -0.40825621224939823, 'fc2.weight_1': -0.5844671074301004, 'fc2.weight_2': -0.706108633428812}",0.0609055567057126,No
"{'fc1.weight_0': 0.8555441554635763, 'fc1.weight_1': -0.3945951610803604, 'fc1.weight_2': -0.4263775423169136, 'bn1.weight_0': 0.36331830359995365, 'bn1.weight_1': -0.7708993162959814, 'bn1.weight_2': -0.039760647341609, 'bn1.bias_0': -0.9821090437471867, 'bn1.bias_1': 0.0591404065489769, 'bn1.bias_2': 0.43794878385961056, 'fc2.weight_0': 0.12033706530928612, 'fc2.weight_1': 0.9186148047447205, 'fc2.weight_2': 0.6648565288633108}",0.007074852107520454,No
"{'fc1.weight_0': 0.6279058679938316, 'fc1.weight_1': 0.33512986078858376, 'fc1.weight_2': -0.5239281449466944, 'bn1.weight_0': 0.031179150566458702, 'bn1.weight_1': -0.6898752264678478, 'bn1.weight_2': -0.8625802639871836, 'bn1.bias_0': 0.5145237911492586, 'bn1.bias_1': -0.9737742654979229, 'bn1.bias_2': -0.7669891826808453, 'fc2.weight_0': -0.9958728514611721, 'fc2.weight_1': -0.7592037841677666, 'fc2.weight_2': 0.9980683419853449}",0.05995695008680712,No
"{'fc1.weight_0': -0.6546287126839161, 'fc1.weight_1': -0.022021466866135597, 'fc1.weight_2': 0.33256917260587215, 'bn1.weight_0': -0.582689855247736, 'bn1.weight_1': 0.8462365325540304, 'bn1.weight_2': 0.9728416800498962, 'bn1.bias_0': -0.6439115703105927, 'bn1.bias_1': 0.4727455023676157, 'bn1.bias_2': 0.22524408623576164, 'fc2.weight_0': 0.5341276954859495, 'fc2.weight_1': 0.7380194794386625, 'fc2.weight_2': -0.8807206600904465}",0.05869227668004338,No
"{'fc1.weight_0': -0.08067028038203716, 'fc1.weight_1': 0.7046274729073048, 'fc1.weight_2': -0.0455927699804306, 'bn1.weight_0': 0.7737869471311569, 'bn1.weight_1': 0.3950515426695347, 'bn1.weight_2': 0.4296688213944435, 'bn1.bias_0': 0.28886565938591957, 'bn1.bias_1': 0.8275250811129808, 'bn1.bias_2': 0.8252315800637007, 'fc2.weight_0': 0.4588442388921976, 'fc2.weight_1': 0.1693723201751709, 'fc2.weight_2': -0.3018393125385046}",0.024149169089897532,No
